y0	mumax	r2	strain	evolution	competition_pair	replicate	culture_type	joined_well_pair	media	plate_name	strep_conc
0.03909288887165715	0.03372818328992194	0.9997843612989628	H1287	anc	NA	a	diffusion_test_M9_start	B01B02	M9	diffusion_test	NA
0.13448622091451645	0.0022404141975418024	0.9861294923775125	NA	NA	NA	a	diffusion_test_M9_start	B01B02	R2A	diffusion_test	NA
0.05968766027938412	0.03747447960257239	0.9999642719483396	H1287	evo	NA	a	diffusion_test_M9_start	B03B04	M9	diffusion_test	NA
0.1426485242958116	0.0013763398067499547	0.9975870196629747	NA	NA	NA	a	diffusion_test_M9_start	B03B04	R2A	diffusion_test	NA
0.04813285469497792	0.10869225447860695	0.9998891423305241	H1977	anc	NA	a	diffusion_test_M9_start	B05B06	M9	diffusion_test	NA
0.14202441895997767	0.0013037415638468435	0.9894845040546411	NA	NA	NA	a	diffusion_test_M9_start	B05B06	R2A	diffusion_test	NA
0.026615754094189193	0.04778629720703205	0.9999504195933301	H1977	evo	NA	a	diffusion_test_M9_start	B07B08	M9	diffusion_test	NA
0.13992535537470893	7.431268649903695e-5	0.9740133093230778	NA	NA	NA	a	diffusion_test_M9_start	B07B08	R2A	diffusion_test	NA
0.146739354345514	2.0062273277412671e-4	0.9959425360581495	NA	NA	NA	a	double_broth	B09B10	R2A	diffusion_test	NA
0.04551327438173644	0.26624470549940155	0.9997840369171501	H1287	anc	NA	a	double_broth	B09B10	R2A	diffusion_test	NA
0.13676176356377387	0.0026139511586573965	0.9886890246942832	NA	NA	NA	a	double_broth	B11B12	R2A	diffusion_test	NA
0.015554851270745863	0.25912584611174944	0.9999818612903069	H1977	anc	NA	a	double_broth	B11B12	R2A	diffusion_test	NA
0.08467533763278721	0.10861646848493689	0.9999311409826236	H1287	anc	NA	b	diffusion_test_M9_start	C01C02	M9	diffusion_test	NA
0.149843706343044	0.0015980572035906686	0.9965896366810578	NA	NA	NA	b	diffusion_test_M9_start	C01C02	R2A	diffusion_test	NA
0.10384945881959921	0.00979361174695739	0.9982990631658312	H1287	evo	NA	b	diffusion_test_M9_start	C03C04	M9	diffusion_test	NA
0.13773477940054077	0.001989555017665318	0.9452611515205215	NA	NA	NA	b	diffusion_test_M9_start	C03C04	R2A	diffusion_test	NA
0.1158673809623496	0.006699321759994008	0.9997324170152699	H1977	anc	NA	b	diffusion_test_M9_start	C05C06	M9	diffusion_test	NA
0.14865873850335262	5.037216812956086e-4	0.9971283494929709	NA	NA	NA	b	diffusion_test_M9_start	C05C06	R2A	diffusion_test	NA
0.0325610161962559	0.1358948256030065	0.999956170632064	H1977	evo	NA	b	diffusion_test_M9_start	C07C08	M9	diffusion_test	NA
0.14055237823019923	6.881909432241694e-4	0.9977314301143797	NA	NA	NA	b	diffusion_test_M9_start	C07C08	R2A	diffusion_test	NA
0.11060501378621042	0.0055812807369002735	0.9968717406046371	NA	NA	NA	b	double_broth	C09C10	R2A	diffusion_test	NA
0.04445791785754937	0.263838713484272	0.999766846669821	H1287	anc	NA	b	double_broth	C09C10	R2A	diffusion_test	NA
0.1305979518180281	0.0026678402816701667	0.9871645060164681	NA	NA	NA	b	double_broth	C11C12	R2A	diffusion_test	NA
0.01106120653962411	0.29667247679706443	0.9999264934361723	H1977	anc	NA	b	double_broth	C11C12	R2A	diffusion_test	NA
0.02251843316764471	0.08488833586840068	0.9999179740955914	H1287	anc	NA	c	diffusion_test_M9_start	D01D02	M9	diffusion_test	NA
0.13569219117308434	0.0012846621855649057	0.9910652827064926	NA	NA	NA	c	diffusion_test_M9_start	D01D02	R2A	diffusion_test	NA
0.1185396814419476	0.011730342980897559	0.9998612856156257	H1287	evo	NA	c	diffusion_test_M9_start	D03D04	M9	diffusion_test	NA
0.13484110151168507	9.958512525726263e-4	0.9896115956462018	NA	NA	NA	c	diffusion_test_M9_start	D03D04	R2A	diffusion_test	NA
0.03000976827020284	0.037560794779914405	0.9996419156881475	H1977	anc	NA	c	diffusion_test_M9_start	D05D06	M9	diffusion_test	NA
0.14300665762646156	1.2202398565177361e-4	0.9972464068989176	NA	NA	NA	c	diffusion_test_M9_start	D05D06	R2A	diffusion_test	NA
0.05331205538165666	0.08896202047375279	0.9999490032331538	H1977	evo	NA	c	diffusion_test_M9_start	D07D08	M9	diffusion_test	NA
0.13814761867990624	5.039627692108961e-4	0.9914776571319724	NA	NA	NA	c	diffusion_test_M9_start	D07D08	R2A	diffusion_test	NA
0.145407102038629	1.280546493640633e-4	0.9988187014035173	NA	NA	NA	c	double_broth	D09D10	R2A	diffusion_test	NA
0.046925701289111416	0.2784656111196853	0.999696649676991	H1287	anc	NA	c	double_broth	D09D10	R2A	diffusion_test	NA
0.13730991059035644	0.0016797154603803489	0.9910142284323943	NA	NA	NA	c	double_broth	D11D12	R2A	diffusion_test	NA
0.014642821057624425	0.26625111476754115	0.999975945011446	H1977	anc	NA	c	double_broth	D11D12	R2A	diffusion_test	NA
0.13034485903385426	0.0021658304903924685	0.9226185619454187	NA	NA	NA	a	diffusion_test_broth_start	E01E02	M9	diffusion_test	NA
0.04505946111235152	0.26354650794822926	0.9996839382389883	H1287	anc	NA	a	diffusion_test_broth_start	E01E02	R2A	diffusion_test	NA
0.13545886322837555	9.162813607871793e-4	0.9228393567150006	NA	NA	NA	a	diffusion_test_broth_start	E03E04	M9	diffusion_test	NA
