seconds	hours	well	OD600	OD600_rollmean	strain	evolution	competition_pair	replicate	culture_type	joined_well_pair	media	streptomycin	plate_name	strainID
0	0	B10	0.147	0.147	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
1200	0.3333333333333333	B10	0.147	0.147	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
2400	0.6666666666666666	B10	0.147	0.147	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
3600	1	B10	0.147	0.147	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
4800	1.3333333333333333	B10	0.147	0.147	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
6000	1.6666666666666667	B10	0.147	0.1472	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
7200	2	B10	0.147	0.1472	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
8400	2.3333333333333335	B10	0.148	0.1474	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
9600	2.6666666666666665	B10	0.147	0.1478	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
10800	3	B10	0.148	0.1484	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
12000	3.3333333333333335	B10	0.149	0.1494	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
13200	3.6666666666666665	B10	0.15	0.1514	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
14400	4	B10	0.153	0.1542	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
15600	4.333333333333333	B10	0.157	0.1588	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
16800	4.666666666666667	B10	0.162	0.1654	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
18000	5	B10	0.172	0.174	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
19200	5.333333333333333	B10	0.183	0.1858	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
20401	5.666944444444445	B10	0.196	0.2026	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
21601	6.000277777777778	B10	0.216	0.2216	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
22801	6.333611111111111	B10	0.246	0.2444	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
24001	6.666944444444445	B10	0.267	0.2714	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
25201	7.000277777777778	B10	0.297	0.301	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
26401	7.333611111111111	B10	0.331	0.3294	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
27601	7.666944444444445	B10	0.364	0.355	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
28801	8.000277777777777	B10	0.388	0.3766	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
30001	8.33361111111111	B10	0.395	0.3934	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
31201	8.666944444444445	B10	0.405	0.4062	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
32401	9.000277777777777	B10	0.415	0.4168	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
33601	9.33361111111111	B10	0.428	0.429	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
34801	9.666944444444445	B10	0.441	0.4426	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
36001	10.000277777777775	B10	0.456	0.4576	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
37201	10.33361111111111	B10	0.473	0.4732	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
38401	10.666944444444445	B10	0.49	0.4888	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
39601	11.000277777777775	B10	0.506	0.5038	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
40801	11.33361111111111	B10	0.519	0.5182	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
42001	11.666944444444445	B10	0.531	0.5312	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
43201	12.000277777777775	B10	0.545	0.5428000000000001	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
44401	12.33361111111111	B10	0.555	0.5532	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
45601	12.666944444444445	B10	0.564	0.5628	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
46801	13.000277777777775	B10	0.571	0.5711999999999999	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
48001	13.33361111111111	B10	0.579	0.579	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
49201	13.666944444444445	B10	0.587	0.5863999999999999	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
50401	14.000277777777775	B10	0.594	0.5938	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
51601	14.33361111111111	B10	0.601	0.6012	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
52801	14.666944444444445	B10	0.608	0.6083999999999999	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
54001	15.000277777777775	B10	0.616	0.6154	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
55201	15.33361111111111	B10	0.623	0.622	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
56401	15.666944444444445	B10	0.629	0.6282	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
57601	16.00027777777778	B10	0.634	0.6338	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
58801	16.33361111111111	B10	0.639	0.639	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
60001	16.666944444444443	B10	0.644	0.6438	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
61201	17.00027777777778	B10	0.649	0.6482	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
62401	17.33361111111111	B10	0.653	0.6526000000000001	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
63601	17.666944444444443	B10	0.656	0.6568	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
64801	18.00027777777778	B10	0.661	0.6608	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
66001	18.33361111111111	B10	0.665	0.665	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
67201	18.666944444444443	B10	0.669	0.6694	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
68401	19.00027777777778	B10	0.674	0.6736000000000001	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
69601	19.33361111111111	B10	0.678	0.6776000000000001	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
70801	19.666944444444443	B10	0.682	0.6816	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
72001	20.00027777777778	B10	0.685	0.6854	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
73201	20.33361111111111	B10	0.689	0.6892	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
74401	20.666944444444443	B10	0.693	0.693	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
75601	21.00027777777778	B10	0.697	0.697	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
76801	21.33361111111111	B10	0.701	0.701	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
78001	21.666944444444443	B10	0.705	0.705	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
79201	22.00027777777778	B10	0.709	0.709	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
80401	22.33361111111111	B10	0.713	0.7132	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
81601	22.666944444444443	B10	0.717	0.717	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
82801	23.00027777777778	B10	0.722	0.7213999999999999	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
84001	23.33361111111111	B10	0.724	0.726	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
85201	23.666944444444443	B10	0.731	0.7308	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
86401	24.00027777777778	B10	0.736	0.7353999999999999	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
87601	24.33361111111111	B10	0.741	0.7406	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
88801	24.666944444444443	B10	0.745	0.745	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
90002	25.00055555555555	B10	0.75	0.7498	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
91202	25.33388888888889	B10	0.753	0.7546	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
92402	25.66722222222222	B10	0.76	0.7596	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
93602	26.00055555555555	B10	0.765	0.7648	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
94802	26.33388888888889	B10	0.77	0.7706000000000001	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
96002	26.66722222222222	B10	0.776	0.7762	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
97202	27.00055555555555	B10	0.782	0.7824	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
98402	27.33388888888889	B10	0.788	0.789	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
99602	27.66722222222222	B10	0.796	0.7958000000000001	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
100802	28.00055555555555	B10	0.803	0.8026	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
102002	28.33388888888889	B10	0.81	0.8094	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
103202	28.66722222222222	B10	0.816	0.8158	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
104402	29.00055555555555	B10	0.822	0.8218	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
105602	29.33388888888889	B10	0.828	0.8273999999999999	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
106802	29.66722222222222	B10	0.833	0.8328	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
108002	30.00055555555555	B10	0.838	0.8382	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
109202	30.33388888888889	B10	0.843	0.8432	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
110402	30.66722222222222	B10	0.849	0.8482	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
111602	31.00055555555555	B10	0.853	0.853	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
112802	31.33388888888889	B10	0.858	0.8578	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
114002	31.66722222222222	B10	0.862	0.86240000000000006	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
115202	32.00055555555556	B10	0.867	0.867	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
116402	32.333888888888886	B10	0.872	0.8716	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
117602	32.66722222222222	B10	0.876	0.876	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
118802	33.00055555555556	B10	0.881	0.8802	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
120002	33.333888888888886	B10	0.884	0.884	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
121202	33.66722222222222	B10	0.888	0.8878	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
122402	34.00055555555556	B10	0.891	0.8914	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
123602	34.333888888888886	B10	0.895	0.8946000000000001	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
124802	34.66722222222222	B10	0.899	0.8982	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
126002	35.00055555555556	B10	0.9	0.902	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
127202	35.333888888888886	B10	0.906	0.9056	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
128402	35.66722222222222	B10	0.91	0.909	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
129602	36.00055555555556	B10	0.913	0.913	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
130802	36.333888888888886	B10	0.916	0.9164	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
132002	36.66722222222222	B10	0.92	0.919	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
133202	37.00055555555556	B10	0.923	0.9222	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
134402	37.333888888888886	B10	0.923	0.9254	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
135602	37.66722222222222	B10	0.929	0.9286	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
136802	38.00055555555556	B10	0.932	0.9316	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
138002	38.333888888888886	B10	0.936	0.9354	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
139202	38.66722222222222	B10	0.938	0.9386	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
140402	39.00055555555556	B10	0.942	0.9416	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
141602	39.333888888888886	B10	0.945	0.9444	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
142802	39.66722222222222	B10	0.947	0.9472	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
144002	40.00055555555556	B10	0.95	0.9498	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
145202	40.333888888888886	B10	0.952	0.9524	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
146402	40.66722222222222	B10	0.955	0.9554	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
147602	41.00055555555556	B10	0.958	0.9584	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
148802	41.333888888888886	B10	0.962	0.9618	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
150002	41.66722222222222	B10	0.965	0.9652	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
151202	42.00055555555556	B10	0.969	0.9686	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
152402	42.333888888888886	B10	0.972	0.9718	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
153603	42.6675	B10	0.975	0.975	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
154803	43.00083333333333	B10	0.978	0.9782	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
156003	43.33416666666667	B10	0.981	0.9818	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
157203	43.6675	B10	0.985	0.9856	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
158403	44.00083333333333	B10	0.99	0.9894	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
159603	44.33416666666667	B10	0.994	0.9932	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
160803	44.6675	B10	0.997	0.9964	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
162003	45.00083333333333	B10	1	0.999	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
163203	45.33416666666667	B10	1.001	1.001	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
164403	45.6675	B10	1.003	1.003	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
165603	46.00083333333333	B10	1.004	1.0044	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
166803	46.33416666666667	B10	1.007	1.0058	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
168003	46.6675	B10	1.007	1.0072	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
169203	47.00083333333333	B10	1.008	1.0084	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
170403	47.33416666666667	B10	1.01	1.0092	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
171603	47.6675	B10	1.01	1.00975	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
172803	48.00083333333333	B10	1.011	1.0103333333333333	H1287	anc	NA	a	monoculture	B09B10	R2A	0	plate01	A1287
0	0	B12	0.148	0.14733333333333332	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
1200	0.3333333333333333	B12	0.147	0.14725	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
2400	0.6666666666666666	B12	0.147	0.1472	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
3600	1	B12	0.147	0.147	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
4800	1.3333333333333333	B12	0.147	0.147	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
6000	1.6666666666666667	B12	0.147	0.147	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
7200	2	B12	0.147	0.147	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
8400	2.3333333333333335	B12	0.147	0.147	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
9600	2.6666666666666665	B12	0.147	0.147	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
10800	3	B12	0.147	0.147	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
12000	3.3333333333333335	B12	0.147	0.147	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
13200	3.6666666666666665	B12	0.147	0.147	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
14400	4	B12	0.147	0.147	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
15600	4.333333333333333	B12	0.147	0.1472	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
16800	4.666666666666667	B12	0.147	0.1474	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
18000	5	B12	0.148	0.1478	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
19200	5.333333333333333	B12	0.148	0.1482	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
20401	5.666944444444445	B12	0.149	0.1488	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
21601	6.000277777777778	B12	0.149	0.14959999999999998	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
22801	6.333611111111111	B12	0.15	0.1502	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
24001	6.666944444444445	B12	0.152	0.1512	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
25201	7.000277777777778	B12	0.151	0.1528	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
26401	7.333611111111111	B12	0.154	0.1544	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
27601	7.666944444444445	B12	0.157	0.1566	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
28801	8.000277777777777	B12	0.158	0.1604	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
30001	8.33361111111111	B12	0.163	0.1642	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
31201	8.666944444444445	B12	0.17	0.1722	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
32401	9.000277777777777	B12	0.173	0.1804	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
33601	9.33361111111111	B12	0.197	0.1886	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
34801	9.666944444444445	B12	0.199	0.1984	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
36001	10.000277777777775	B12	0.204	0.2118	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
37201	10.33361111111111	B12	0.219	0.2258	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
38401	10.666944444444445	B12	0.24	0.2448	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
39601	11.000277777777775	B12	0.267	0.2686	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
40801	11.33361111111111	B12	0.294	0.2944	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
42001	11.666944444444445	B12	0.323	0.3222	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
43201	12.000277777777775	B12	0.348	0.3514	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
44401	12.33361111111111	B12	0.379	0.3824	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
45601	12.666944444444445	B12	0.413	0.4144	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
46801	13.000277777777775	B12	0.449	0.4466	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
48001	13.33361111111111	B12	0.483	0.4798	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
49201	13.666944444444445	B12	0.509	0.5162	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
50401	14.000277777777775	B12	0.545	0.5498	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
51601	14.33361111111111	B12	0.595	0.5824	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
52801	14.666944444444445	B12	0.617	0.6128	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
54001	15.000277777777775	B12	0.646	0.6404	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
55201	15.33361111111111	B12	0.661	0.6638000000000001	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
56401	15.666944444444445	B12	0.683	0.6864	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
57601	16.00027777777778	B12	0.712	0.7064	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
58801	16.33361111111111	B12	0.73	0.7264	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
60001	16.666944444444443	B12	0.746	0.7452	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
61201	17.00027777777778	B12	0.761	0.7604	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
62401	17.33361111111111	B12	0.777	0.7772	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
63601	17.666944444444443	B12	0.788	0.792	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
64801	18.00027777777778	B12	0.814	0.8062	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
66001	18.33361111111111	B12	0.82	0.817	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
67201	18.666944444444443	B12	0.832	0.8293999999999999	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
68401	19.00027777777778	B12	0.831	0.8392	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
69601	19.33361111111111	B12	0.85	0.8508	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
70801	19.666944444444443	B12	0.863	0.8658	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
72001	20.00027777777778	B12	0.878	0.884	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
73201	20.33361111111111	B12	0.907	0.8958	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
74401	20.666944444444443	B12	0.922	0.9092	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
75601	21.00027777777778	B12	0.909	0.9218	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
76801	21.33361111111111	B12	0.93	0.9314	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
78001	21.666944444444443	B12	0.941	0.941	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
79201	22.00027777777778	B12	0.955	0.9546	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
80401	22.33361111111111	B12	0.97	0.9664	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
81601	22.666944444444443	B12	0.977	0.9778	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
82801	23.00027777777778	B12	0.989	0.9878	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
84001	23.33361111111111	B12	0.998	0.9966	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
85201	23.666944444444443	B12	1.005	1.0062	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
86401	24.00027777777778	B12	1.014	1.016	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
87601	24.33361111111111	B12	1.025	1.027	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
88801	24.666944444444443	B12	1.038	1.0374	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
90002	25.00055555555555	B12	1.053	1.0492	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
91202	25.33388888888889	B12	1.057	1.0614	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
92402	25.66722222222222	B12	1.073	1.072	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
93602	26.00055555555555	B12	1.086	1.0816	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
94802	26.33388888888889	B12	1.091	1.0928	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
96002	26.66722222222222	B12	1.101	1.103	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
97202	27.00055555555555	B12	1.113	1.1126	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
98402	27.33388888888889	B12	1.124	1.1222	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
99602	27.66722222222222	B12	1.134	1.1324	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
100802	28.00055555555555	B12	1.139	1.142	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
102002	28.33388888888889	B12	1.152	1.1514	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
103202	28.66722222222222	B12	1.161	1.1616	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
104402	29.00055555555555	B12	1.171	1.1724	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
105602	29.33388888888889	B12	1.185	1.1824	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
106802	29.66722222222222	B12	1.193	1.193	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
108002	30.00055555555555	B12	1.202	1.2032	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
109202	30.33388888888889	B12	1.214	1.2132	H1977	anc	NA	a	monoculture	B11B12	R2A	0	plate01	A1977
